name,exist,x,y,rotation,d_sofa_1,d_sofa_2,d_sofa_3,d_desk_1,d_desk_2,d_desk_3,d_chair_1,d_chair_2,d_chair_3,d_TV_1,d_TV_2,d_TV_3,d_light_1,d_light_2,d_light_3,d_plant_1,d_plant_2,d_plant_3,d_shelf_1,d_shelf_2,d_shelf_3,d_chest_1,d_chest_2,d_chest_3,d_bed_1,d_bed_2,d_bed_3,room,room_h_length,room_v_length,target
bed_1,1,4,7,90,3.1622776601683795,8.06225774829855,8.06225774829855,2.23606797749979,8.06225774829855,8.06225774829855,7.211102550927978,2.23606797749979,3.1622776601683795,0,0,0,5.0990195135927845,8.06225774829855,8.06225774829855,5.830951894845301,8.06225774829855,8.06225774829855,7.810249675906654,8.06225774829855,8.06225774829855,8.06225774829855,8.06225774829855,8.06225774829855,0.0,5.385164807134504,8.06225774829855,room_41,10,10,uninspected
bed_2,1,9,5,90,4.123105625617661,10.295630140987,10.295630140987,5.656854249492381,10.295630140987,10.295630140987,2.23606797749979,7.211102550927978,7.810249675906654,0,0,0,1.0,10.295630140987,10.295630140987,3.605551275463989,10.295630140987,10.295630140987,3.1622776601683795,10.295630140987,10.295630140987,10.295630140987,10.295630140987,10.295630140987,5.385164807134504,0.0,10.295630140987,room_41,10,10,uninspected
bed_3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_41,10,10,uninspected
sofa_1,1,5,4,225,0.0,6.4031242374328485,6.4031242374328485,5.0,6.4031242374328485,6.4031242374328485,5.0990195135927845,5.385164807134504,6.324555320336759,0,0,0,4.47213595499958,6.4031242374328485,6.4031242374328485,2.8284271247461903,6.4031242374328485,6.4031242374328485,5.385164807134504,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.4031242374328485,3.1622776601683795,4.123105625617661,6.4031242374328485,room_41,10,10,uninspected
sofa_2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_41,10,10,uninspected
sofa_3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_41,10,10,uninspected
desk_1,1,5,9,0,5.0,10.295630140987,10.295630140987,0.0,10.295630140987,10.295630140987,7.810249675906654,2.0,2.23606797749979,0,0,0,5.0,10.295630140987,10.295630140987,7.280109889280518,10.295630140987,10.295630140987,8.602325267042627,10.295630140987,10.295630140987,10.295630140987,10.295630140987,10.295630140987,2.23606797749979,5.656854249492381,10.295630140987,room_41,10,10,uninspected
desk_2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_41,10,10,uninspected
desk_3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,room_41,10,10,uninspected
chair_1,1,10,3,180,5.0990195135927845,10.44030650891055,10.44030650891055,7.810249675906654,10.44030650891055,10.44030650891055,0.0,9.219544457292889,9.899494936611664,0,0,0,3.1622776601683795,10.44030650891055,10.44030650891055,3.1622776601683795,10.44030650891055,10.44030650891055,1.0,10.44030650891055,10.44030650891055,10.44030650891055,10.44030650891055,10.44030650891055,7.211102550927978,2.23606797749979,10.44030650891055,room_41,10,10,uninspected
